,Runs,Initial Sample,Query Sample,Precision on Lattice,Recall on Lattice,F1 on Lattice,Recall@k on Lattice,Precision on Queries,Recall on Queries,F1 on Queries,Recall@k on Queries,k
0,0.0,0.1,0.1,1.0,0.9888888888888889,0.9944134078212291,0.1,1.0,0.9888888888888889,0.9944134078212291,0.0,10.0
1,0.0,0.1,0.2,1.0,0.9888888888888889,0.9944134078212291,0.0,1.0,0.9888888888888889,0.9944134078212291,0.0,10.0
2,0.0,0.1,0.3,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,10.0
3,0.0,0.1,0.4,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,10.0
4,0.0,0.1,0.5,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.2,10.0
5,0.0,0.1,0.6,1.0,0.9888888888888889,0.9944134078212291,0.2,1.0,0.9888888888888889,0.9944134078212291,0.2,10.0
6,0.0,0.1,0.7,1.0,1.0,1.0,0.3,1.0,1.0,1.0,0.1,10.0
7,0.0,0.1,0.8,1.0,0.9888888888888889,0.9944134078212291,0.2,1.0,0.9888888888888889,0.9944134078212291,0.1,10.0
8,0.0,0.1,0.9,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,10.0
9,0.0,0.1,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,10.0
10,0.0,0.2,0.1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,10.0
11,0.0,0.2,0.2,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,10.0
12,0.0,0.2,0.3,1.0,0.9888888888888889,0.9944134078212291,0.2,1.0,0.9888888888888889,0.9944134078212291,0.1,10.0
13,0.0,0.2,0.4,1.0,0.9888888888888889,0.9944134078212291,0.2,1.0,0.9888888888888889,0.9944134078212291,0.1,10.0
14,0.0,0.2,0.5,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,10.0
15,0.0,0.2,0.6,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,10.0
16,0.0,0.2,0.7,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,10.0
17,0.0,0.2,0.8,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,10.0
18,0.0,0.2,0.9,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.2,10.0
19,0.0,0.2,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.2,10.0
20,0.0,0.3,0.1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,10.0
21,0.0,0.3,0.2,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,10.0
22,0.0,0.3,0.3,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,10.0
23,0.0,0.3,0.4,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,10.0
24,0.0,0.3,0.5,1.0,0.9888888888888889,0.9944134078212291,0.0,1.0,0.9888888888888889,0.9944134078212291,0.0,10.0
25,0.0,0.3,0.6,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,10.0
26,0.0,0.3,0.7,1.0,1.0,1.0,0.3,1.0,1.0,1.0,0.1,10.0
27,0.0,0.3,0.8,1.0,1.0,1.0,0.3,1.0,1.0,1.0,0.2,10.0
28,0.0,0.3,0.9,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.0,10.0
29,0.0,0.3,1.0,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.0,10.0
30,0.0,0.4,0.1,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.3,10.0
31,0.0,0.4,0.2,1.0,1.0,1.0,0.3,1.0,1.0,1.0,0.2,10.0
32,0.0,0.4,0.3,1.0,1.0,1.0,0.3,1.0,1.0,1.0,0.3,10.0
33,0.0,0.4,0.4,1.0,1.0,1.0,0.3,1.0,1.0,1.0,0.3,10.0
34,0.0,0.4,0.5,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,10.0
35,0.0,0.4,0.6,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,10.0
36,0.0,0.4,0.7,1.0,1.0,1.0,0.1,1.0,1.0,1.0,0.1,10.0
37,0.0,0.4,0.8,1.0,1.0,1.0,0.2,1.0,1.0,1.0,0.1,10.0
38,0.0,0.4,0.9,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.2,10.0
