,Runs,Index,count,Time
0,0,False,1,5.165719985961914
1,0,False,2,7.4769158363342285
2,0,False,3,9.815216779708862
3,0,False,4,12.153688907623291
4,0,False,5,14.480071067810059
5,0,False,6,16.801183223724365
6,0,False,7,19.142964124679565
7,0,False,8,21.465337991714478
8,0,False,9,23.758784770965576
9,0,False,10,26.053694009780884
10,0,False,11,28.350971221923828
11,0,False,12,30.67889928817749
12,0,False,13,32.96694540977478
13,0,False,14,35.26181244850159
14,0,False,15,37.52444052696228
15,0,False,16,39.79145431518555
16,0,False,17,42.04734826087952
17,0,False,18,44.301544189453125
18,0,False,19,46.53768301010132
19,0,False,20,48.84879803657532
20,0,False,21,51.207524061203
21,0,False,22,53.507445096969604
22,0,False,23,55.79569387435913
23,0,False,24,58.05760908126831
24,0,False,25,60.323636054992676
25,0,False,26,62.62419295310974
26,0,False,27,64.89857506752014
27,0,False,28,67.16110730171204
28,0,False,29,69.42251825332642
29,0,False,30,71.67495727539062
30,0,False,31,73.94639015197754
31,0,False,32,76.20648217201233
32,0,False,33,78.47313618659973
33,0,False,34,80.71668553352356
34,0,False,35,82.9708354473114
35,0,False,36,85.26564764976501
36,0,False,37,87.52468061447144
37,0,False,38,89.77456331253052
38,0,False,39,92.03353929519653
39,0,False,40,94.29352307319641
40,0,False,41,96.55174398422241
41,0,False,42,98.80056476593018
42,0,False,43,101.006178855896
43,0,False,44,103.22822594642639
44,0,False,45,105.46906280517578
45,0,False,46,107.71094870567322
46,0,False,47,109.93528890609741
47,0,False,48,112.14949679374695
48,0,False,49,114.37864208221436
49,0,False,50,116.61112093925476
50,0,False,51,118.81455993652344
51,0,False,52,121.02031087875366
52,0,False,53,123.22332882881165
53,0,False,54,125.45027899742126
54,0,False,55,127.66837477684021
55,0,False,56,129.87679171562195
56,0,False,57,132.07798075675964
57,0,False,58,134.30913662910461
58,0,False,59,136.52869057655334
59,0,False,60,138.72930455207825
60,0,False,61,140.98800349235535
61,0,False,62,143.23475456237793
62,0,False,63,145.48129677772522
63,0,False,64,147.70975184440613
64,0,False,65,149.94162106513977
65,0,False,66,152.27270603179932
66,0,False,67,154.48075008392334
67,0,False,68,156.73216700553894
68,0,False,69,158.95894503593445
69,0,False,70,161.19683003425598
70,0,False,71,163.41451811790466
71,0,False,72,165.6504180431366
72,0,False,73,167.87072706222534
73,0,False,74,170.12528014183044
74,0,False,75,172.35075998306274
75,0,False,76,174.607106924057
76,0,False,77,176.85718321800232
77,0,False,78,179.07713222503662
78,0,False,79,181.28830528259277
79,0,False,80,183.4901020526886
80,0,False,81,185.72335839271545
81,0,False,82,187.95774745941162
82,0,False,83,190.1730673313141
83,0,False,84,192.38156533241272
84,0,False,85,194.59808611869812
85,0,False,86,196.8170030117035
86,0,False,87,199.074481010437
87,0,False,88,201.30334424972534
