,Runs,Initial Sample,Query Sample,Pair,Error on materialized,Error on lattice,Prediction
66,0,0.1,0.5,"('B6', 'NK')",0.375,0.375,0.0
67,0,0.1,0.5,"('WN', 'US')",0.2222222222222222,0.11111111111111105,0.6666666666666666
68,0,0.1,0.5,"('WN', 'OO')",0.125,0.125,0.0
69,0,0.1,0.5,"('MQ', 'NK')",0.07142857142857145,0.07142857142857145,0.5
70,0,0.1,0.5,"('MQ', 'AS')",0.25,0.25,0.0
71,0,0.1,0.5,"('NK', 'EV')",0.3333333333333333,0.3333333333333333,0.0
72,0,0.1,0.5,"('EV', 'HA')",0.3333333333333333,0.3333333333333333,0.0
73,0,0.1,0.5,"('EV', 'OO')",0.25,0.25,0.0
74,0,0.1,0.6,"('F9', 'B6')",0.23809523809523808,0.23809523809523808,0.6666666666666666
75,0,0.1,0.6,"('DL', 'UA')",0.16666666666666669,0.09999999999999998,0.5
76,0,0.1,0.6,"('WN', 'AS')",0.05555555555555558,0.05555555555555558,0.5
77,0,0.1,0.6,"('US', 'NK')",0.19047619047619047,0.19047619047619047,0.3333333333333333
78,0,0.1,0.6,"('NK', 'HA')",0.1333333333333333,0.06666666666666671,0.3333333333333333
79,0,0.1,0.6,"('HA', 'OO')",0.09523809523809523,0.09523809523809523,0.6666666666666666
80,0,0.1,0.7,"('AA', 'UA')",0.012987012987012991,0.012987012987012991,0.2857142857142857
81,0,0.1,0.7,"('AA', 'WN')",0.033333333333333354,0.033333333333333354,0.16666666666666666
82,0,0.1,0.7,"('AA', 'NK')",0.2,0.2,0.5
83,0,0.1,0.7,"('F9', 'WN')",0.1777777777777778,0.1777777777777778,0.4
84,0,0.1,0.7,"('F9', 'AS')",0.16666666666666669,0.16666666666666669,0.5
85,0,0.1,0.7,"('WN', 'OO')",0.07500000000000001,0.07500000000000001,0.2
86,0,0.1,0.7,"('WN', 'AS')",0.15555555555555556,0.15555555555555556,0.6
87,0,0.1,0.7,"('US', 'NK')",0.19047619047619047,0.19047619047619047,0.3333333333333333
88,0,0.1,0.7,"('MQ', 'EV')",0.15000000000000002,0.15000000000000002,0.4
89,0,0.1,0.7,"('MQ', 'AS')",0.25,0.25,0.5
90,0,0.1,0.7,"('NK', 'EV')",0.16666666666666666,0.16666666666666666,0.3333333333333333
91,0,0.1,0.7,"('NK', 'HA')",0.1333333333333333,0.06666666666666671,0.3333333333333333
92,0,0.1,0.7,"('NK', 'AS')",0.1333333333333333,0.1333333333333333,0.3333333333333333
93,0,0.1,0.7,"('HA', 'OO')",0.1785714285714286,0.1785714285714286,0.75
94,0,0.1,0.8,"('AA', 'B6')",0.028571428571428525,0.025974025974025983,0.42857142857142855
95,0,0.1,0.8,"('AA', 'UA')",0.022727272727272707,0.022727272727272707,0.25
96,0,0.1,0.8,"('AA', 'HA')",0.09999999999999998,0.02857142857142858,0.6
97,0,0.1,0.8,"('F9', 'AS')",0.06666666666666671,0.06666666666666671,0.4
98,0,0.1,0.8,"('B6', 'DL')",0.07500000000000001,0.07500000000000001,0.2
99,0,0.1,0.8,"('UA', 'HA')",0.09999999999999998,0.09999999999999998,0.6
100,0,0.1,0.8,"('WN', 'NK')",0.07500000000000001,0.0222222222222222,0.2
101,0,0.1,0.8,"('EV', 'HA')",0.16666666666666669,0.16666666666666669,0.5
102,0,0.1,0.8,"('HA', 'AS')",0.02857142857142858,0.02857142857142858,0.6
103,0,0.1,0.9,"('VX', 'US')",0.09999999999999998,0.09999999999999998,0.6
104,0,0.1,0.9,"('AA', 'WN')",0.07500000000000001,0.07500000000000001,0.125
105,0,0.1,0.9,"('AA', 'NK')",0.07500000000000001,0.07500000000000001,0.375
106,0,0.1,0.9,"('AA', 'AS')",0.06349206349206349,0.06349206349206349,0.2857142857142857
107,0,0.1,0.9,"('F9', 'WN')",0.06349206349206349,0.06349206349206349,0.2857142857142857
108,0,0.1,0.9,"('B6', 'US')",0.08333333333333331,0.08333333333333331,0.3333333333333333
109,0,0.1,0.9,"('B6', 'MQ')",0.02857142857142858,0.02857142857142858,0.6
110,0,0.1,0.9,"('UA', 'US')",0.015873015873015872,0.07142857142857145,0.42857142857142855
111,0,0.1,0.9,"('WN', 'EV')",0.06349206349206349,0.06349206349206349,0.2857142857142857
112,0,0.1,0.9,"('US', 'EV')",0.08333333333333334,0.08333333333333334,0.25
113,0,0.1,0.9,"('MQ', 'NK')",0.028571428571428525,0.028571428571428525,0.4
114,0,0.1,0.9,"('MQ', 'EV')",0.08333333333333331,0.08333333333333331,0.3333333333333333
115,0,0.1,0.9,"('EV', 'HA')",0.16666666666666669,0.16666666666666669,0.5
116,0,0.1,1.0,"('VX', 'UA')",0.0,0.0,0.2222222222222222
117,0,0.1,1.0,"('AA', 'UA')",0.0,0.0,0.2727272727272727
118,0,0.1,1.0,"('B6', 'UA')",0.0,0.0,0.4444444444444444
119,0,0.1,1.0,"('B6', 'HA')",0.0,0.2,0.4
120,0,0.1,1.0,"('DL', 'WN')",0.0,0.0,0.3
121,0,0.1,1.0,"('DL', 'NK')",0.0,0.0,0.4444444444444444
122,0,0.1,1.0,"('DL', 'HA')",0.0,0.0,0.3333333333333333
123,0,0.1,1.0,"('UA', 'US')",0.0,0.05555555555555558,0.4444444444444444
124,0,0.1,1.0,"('UA', 'EV')",0.0,0.0,0.14285714285714285
125,0,0.1,1.0,"('WN', 'AS')",0.0,0.0,0.4444444444444444
126,0,0.1,1.0,"('US', 'MQ')",0.0,0.0,0.3333333333333333
127,0,0.1,1.0,"('MQ', 'HA')",0.0,0.0,0.5
128,0,0.1,1.0,"('NK', 'OO')",0.0,0.0,0.16666666666666666
129,0,0.1,1.0,"('HA', 'OO')",0.0,0.0,0.5714285714285714
130,0,0.2,0.1,"('VX', 'MQ')",0.2,0.2,0.0
131,0,0.2,0.1,"('VX', 'OO')",0.3333333333333333,0.3333333333333333,0.0
132,0,0.2,0.1,"('VX', 'AS')",0.2857142857142857,0.2857142857142857,1.0
133,0,0.2,0.1,"('AA', 'UA')",0.2222222222222222,0.36363636363636365,1.0
134,0,0.2,0.1,"('AA', 'US')",0.125,0.2222222222222222,0.0
135,0,0.2,0.1,"('AA', 'NK')",0.2222222222222222,0.19999999999999996,1.0
